 zebra ,ngựa vằn
adventure ,cuộc phiêu lưu
airplane ,máy bay
artist ,họa sĩ
astronaut ,phi hành gia
balloon ,bóng bay
baseball ,bóng chày
bicycle ,xe đạp
blanket ,chăn
brave ,dũng cảm
brother ,anh trai
butterfly ,bướm
calendar ,lịch
camera ,máy ảnh
castle ,lâu đài
caterpillar ,sâu bướm
celebrate ,ăn mừng
cereal ,ngũ cốc
cheerful ,vui vẻ
chocolate ,sô cô la
circus ,rạp xiếc
classroom ,lớp học
cockroach ,con gián
computer ,máy tính
cookie ,bánh quy
courage ,can đảm
cousin ,anh em họ
cupcake ,bánh cupcake
dinosaur ,khủng long
discovery ,phát hiện
dolphin ,cá heo
dragon ,rừng
earth ,trái đất
engine ,động cơ
explore ,khám phá
explorer ,nhà thám hiểm
family ,gia đình
farmer ,nông dân
feather ,lông
fence , hàng rào
firefighter , lính cửu hỏa
football , bóng đá
garden , vườn
giraffe , hưou cao cổ
globe , địa cầu
grass , cỏ
grasshopper ,châu chấu
guitar , đàn guitar
hamburger , bánh hamburger
heart , trái tim
helicopter , trực thăng
hero , anh hùng
horse , ngựa
house , nhà
ice cream , kem
idea , ý tưởng
iguana , kì nhông
imagination , trí tưởng tượng
jacket , áo khoác
jelly , thạch
jellyfish , sứa
kangaroo , chuột túi
koala , gấu koala
ladybug ,bọ rùa
lemonade , nước chanh
library , thư viện
lizard , thằn lằn
lollipop , kẹo que
magician , ảo thuật gia
marshmallow , kẹo dẻo
mosquito , con muỗi
mountain , núi
necklace , dây chuyền
notebook , quyển vở
ocean ,đại dương
octopus ,bạch tuộc
orange , quả cam
pancake , bánh kép
parrot , vẹt
penguin , chim cánh cụt
picnic , dã ngoại
pillow , gối
raccoon , gấu mèo
rainbow , cầu vồng
rocket , tên lửa
sandwich , bánh sandwich
saxophone , kèn saxophone
squirrel , sóc
starfish , sao biển
sweater , áo len
telescope , kính viễn vọng
vegetable , rau củ
volcano , núi lửa
walrus , hải cẩu
zipper , khóa kéo
