eraser,cục tẩy
jellyfish,con sứa
swordfish,cá kiếm
porcupine,con nhím
hippopotamus,hà mã
rhinoceros,tê giác
alligator,cá sấu mõm ngắn
grasshopper,châu chấu
tarantula,con nhện
woodpecker,chim gõ kiến
rectangle,hình chữ nhật
accountant,kế toán
architect,kiến trúc sư
scientist,nhà khoa học
helicopter,máy bay trực thăng
Bracelet,vòng đeo tay
Necklace,vòng cổ
Suitcase,va li
Mathematics,môn Toán
Literature,văn học
Athletics,điền kinh
Gymnastics,tập thể hình
cardboard,giấy các tông
polyester,vải pô li me
Clever,thông minh
Competitive,ganh đua
Considerate,chu đáo
Diligent,siêng năng
Dynamic,năng động
Intelligent,thông minh
Jealous,ghen tị
Pollution,sự ô nhiễm 
Preservation,sự bảo tồn
Barbecue,lò nướng ngoài trời
Aberration,sự sai lệch
Belligerent,hiếu chiến
Cacophony,tiếng ồn
Complacent,tự mãn
Conundrum,câu đố hóc búa
Deferential,tôn trọng
Fallacy,ngụy biện
Flabbergasted,sửng sốt
Ignominious,nhục nhã
Indolent,lười biếng
Lackadaisical,thờ ơ
Magnanimous,hào hiệp
Meticulous,tỉ mỉ
Nefarious,hung ác
Ostentatious,phô trương
Quintessential,tinh hoa
