hair,tóc
head,đầu
eye,mắt
face,mặt
cheek,má
ear,lỗ tai
nose,mũi
mouth,miệng
neck,cổ
chin,cằm
back,lưng
arm,cánh tay
hand,bàn tay
thigh,đùi
knee,đầu gối
leg,chân
foot,bàn chân
toe,ngón chân
mum,mẹ
dad,bố
baby,em bé
calf,con bê
uncle,"chú, bác trai, cậu"
aunt,cô
pupil,học sinh
class ,lớp học
board,bảng
book,quyển sách
table,bàn học
chair,ghế
paper,giấy
pen,bút
ruler,thước kẻ
bag,cặp sách
mouse,chuột máy tính
shark,cá mập
crab,cua
coral,san hô
squid,con mực
seal,hải cẩu
cat,mèo
dog,chó
chick,gà con
pig,lợn
cow,con bò
duck,con vịt
horse,ngựa
sheep,cừu
goat,dê
lion,sư tử
fox,con cáo
puma,con báo
bear,con gấu
zebra,ngựa vằn
panda,gấu trúc
eagle,đại bàng
crow ,quạ
owl,cú mèo
swan,thiên nga
crane,con sếu
mango,quả xoài
apple,táo
grape,nho
melon,dưa gang
lemon,quả chanh
peach,quả đào
plum,quả mận
guava,ổi
pear,quả lê
kiwi,quả kiwi
room,phòng
pool,bể bơi
yard,sân
fence,rào chắn
door,cửa ra vào
lock,ổ khóa
key,chìa khóa
gate,cổng
bed,giường ngủ
mat,thảm chùi chân
rug,thảm trải sàn
fan,cái quạt
clock,đồng hồ
bin,thùng rác
table,bàn
sofa,ghế sofa
bench,ghế bành
vase,lọ hoa
cup,cốc uống nước
red,màu đỏ
black,màu đen
white,màu trắng
pink,màu hồng
gray,màu xám
green,màu xanh lá cây
blue,màu xanh dương
star,ngôi sao
oval,hình bầu dục
cone,hình chóp nón
cube,hình lập phương
hot,nóng
warm,ấm
cold,lạnh
dry,khô
wet,ẩm ướt
rainy,mưa
sunny,nắng
windy,gió
icy,đóng băng
gale,gió giật
fog,sương mù
mist,sương muối
flood,lũ
cake,bánh
pizza,bánh pizza
bread,bánh mì
chips,khoai tây chiên
honey,mật ong
cream,kem
milk,sữa
jam,mứt
water,nước
juice,nước ép
soda,nước ngọt
poet,nhà thơ
model,người mẫu
cook,nấu ăn
nurse,y tá
bike,xe đạp
car,ô tô
bus,xe buýt
coach,xe khách
taxi,xe taxi
train,tàu hỏa
boat,con thuyền
ship,tàu thủy
ferry,phà
tube,tàu điện ngầm
plane,máy bay
go,đi
run,chạy
eat,ăn
sit,ngồi
hear,nghe
laugh,cười
speak,nói
walk,đi bộ
swim,bơi lội
work,làm việc
lift,nâng lên
hug,ôm
call,gọi điện
give,đưa/cho/tặng
wash,rửa/giặt
coat,áo choàng
dress,đầm
shirt,áo sơ mi
pants,quần dài
skirt,váy
jeans,quần jean
hat,mũ
cap,mũ lưỡi chai
tie,cà vạt
shoe,giày
boot,ủng
ring,nhẫn
bag,cái túi
bib,yếm
music,âm nhạc
golf,đánh gôn
glass,thủy tinh
gold,vàng
iron,sắt
silver,bạc
wood,gỗ
wool,len
paper,giấy
brick,gạch
ash,tro
clay,đất sét
cloth,vải
dust,bụi
lead,chì
mud,bùn
nylon,ni-lông
silk,lụa
steel,thép
tin,thiếc
sand,cát
coal,than đá
soil,đất
tent,lều
axe,cái rìu
mat,tấm thảm
snow,tuyết
pine,cây thông
card,thẻ
gift,quà
mask,mặt nạ
