grandparent,ông bà
hippopotamus,hà mã
rhinoceros,tê giác
grasshopper,châu chấu
caterpillar,sâu bướm
praying mantis,bọ ngựa
woodpecker,chim gõ kiến
flowerpecker,chim sâu
strawberry,dâu tây
watermelon,dưa hấu
grapefruit,bưởi
passion fruit,chanh leo
dragon fruit,quả thanh long
living room,phòng khách
door handle,tay nắm cửa
television,ti vi
face towel,khăn mặt
right triangle,hình tam giác vuông
isosceles triangle,hình tam giác cân
thunderstorm,bão có sấm chớp
partly cloudy,có chút mây
clear sky,trời quang mây tạnh
cottage cheese,phô mai tươi
orange juice,nước cam
chewing gum,kẹo cao su
accountant,kế toán
hairdresser,thợ làm tóc
firefighter,lính cứu hỏa
businessman,doanh nhân
fire truck,xe chữa cháy
high speed train,tàu cao tốc
hot air balloon,khinh khí cầu
helicopter,máy bay trực thăng
plastic bag,túi nhựa
mathematics,môn toán
literature,văn học
foreign language,ngoại ngữ
civic education,giáo dục công dân
fine art,mỹ thuật
technology,công nghệ
information technology,công nghệ thông tin
physical education,thể dục
basketball,bóng rổ
beach volleyball,bóng chuyền bãi biển
gymnastics,tập thể hình
industrial waste,chất thải công nghiệp 
natural resources,tài nguyên thiên nhiên
oil spill,sự cố tràn dầu
ozone layer,tầng ô-zôn
rainforest,rừng nhiệt đới
sea level,mực nước biển
solar power,năng lượng mặt trời
sleeping bag,túi ngủ
folding chair,ghế gấp
crescent moon,trăng khuyết
full moon,trăng tròn
moon palace,cung trăng
the moon boy,chú Cuội
magical banyan tree,cây đa
lion dance,múa lân
carp shaped lantern,đèn cá chép
lantern parade,hội rước đèn
apricot blossom,hoa mai
kumquat tree,cây quất
boiled chicken,gà luộc
cashew nut,hạt điều
Chung cake,bánh chưng
roasted pumpkin seeds,hạt bí
roasted sunflower seeds,hạt hướng dương
roasted watermelon seeds,hạt dưa
