forehead,trán
tongue,lưỡi
shoulder,vai
finger,ngón tay
grandpa,ông
grandma,bà
parents,bố mẹ
brother,anh/em trai
sister,chị/em gái
grandson,cháu trai
cousin,anh/chị/em họ
teacher,giáo viên
classmate,bạn cùng lớp
pencil,bút chì
eraser,cục tẩy
crayon,bút chì màu
picture,bức tranh
goldfish,cá vàng
dolphin,cá heo
lobster,tôm hùm
jellyfish,con sứa
swordfish,cá kiếm
octupus,bạch tuộc
starfish,sao biển
penguin,chim cánh cụt
chicken,gà
parrot,con vẹt
elephant,con voi
porcupine,con nhím
squirrel,con sóc
giraffe,hươu cao cổ
donkey,con lừa
kangaroo,chuột túi
alligator,cá sấu mõm ngắn
coyote,chó sói đồng cỏ
mosquito,con muỗi
cockroach,con gián
ladybug,con bọ rùa
tarantula,con nhện
pigeon,bồ câu
sparrow,chim sẻ
vulture,kền kền
falcon,chim ưng
peacock,con công
babbler,khướu
cuckoo,chim cúc cu
banana,chuối
orange,cam
coconut,quả dừa
avocado,quả bơ
papaya,quả đu đủ 
pineapple,quả dứa
durian,quả sầu riêng
longan,quả nhãn
bedroom,phòng ngủ
bathroom,phòng tắm
kitchen,nhà bếp
toilet,nhà vệ sinh
stairs,cầu thang
window,cửa sổ
telephone,điện thoại
blanket,chăn
pillow,gối
lights,đèn
fridge,tủ lạnh
bookshelf,giá sách
yellow,màu vàng
purple,màu tím
circle,hình tròn
triangle,hình tam giác
square,hình vuông
rectangle,hình chữ nhật
hexagon,hình lục giác
cylinder,hình trụ
cloudy,mây
drizzle,mưa phùn
shower,mưa rào nhẹ
freezing,băng giá
tornado,lốc xoáy
stormy,bão
thunder,sấm chớp
foggy,sương mù nhiều
lightning,sét
rainbow,cầu vồng 
hamburger,bánh hamburger
biscuit,bánh quy
cookie,bánh quy
sandwich,bánh mì sandwich
chocolate,sô cô la
cheese,phô mai
yogurt,sữa chua
doctor,bác sĩ
painter,họa sĩ
writer,nhà văn
director,đạo diễn
architect,kiến trúc sư
tailor,thợ may
stylist,nhà tạo mẫu
engineer,kỹ sư
scientist,nhà khoa học
singer,ca sĩ
police,cảnh sát
lawyer,luật sư
banker,nhân viên ngân hàng
cashier,thu ngân
dentist,nha sĩ
farmer,nông dân
ambulance,xe cứu thương
motorbike,xe máy
helicopter,máy bay trực thăng
swallow,nuốt
listen,lắng nghe
cycling,đạp xe
fishing,câu cá
clothes,quần áo
jacket,áo khoác
sweater,áo len
shorts,quần short
pajamas,đồ ngủ
nightgown,áo ngủ
diaper,tã
zipper,khóa kéo
pocket,túi
necklace,vòng cổ
earring,bông tai
bracelet,vòng đeo tay
button,khuy áo
handbag,túi xách tay
backpack,ba lô
briefcase,va li công tác
suitcase,va li
wallet,ví tiền
glasses,kính
history,lịch sử
geography,địa lý
physics,vật lý
chemistry,hóa học
biology,sinh học
archery,bắn cung
athletics,điền kinh
badminton,cầu lông
baseball,bóng chày
boxing,đấm bốc
climbing,leo núi
diving,lặn
football,bóng đá
handball,bóng ném
hiking,đi bộ đường dài
hockey,khúc côn cầu
plastic,nhựa
silver,bạc
cardboard,giấy các tông
cement,xi măng
concrete,bê tông
leather,da
marble,đá hoa
rubber,cao su
cotton,bông gòn
crystal,pha lê
gasoline,xăng
gravel,sỏi
mental,kim loại
bronze,đồng
sewage,nước thải
lighter,bật lửa
penknife,dao gấp
lantern,đèn xách tay
campfire,lửa trại
barbecue,lò nướng ngoài trời
snowflake,bông tuyết
candle,cây nến
fireplace,lò sưởi
firewood,củi khô
chimney,ống khói
present,món quà
ribbon,nơ ruy băng
marigold,cúc vạn thọ
